id,first_release_date,game_modes,genres,keywords,name,platforms,similar_games
268,1242345600,"[{'id': 1, 'name': 'Single player'}]","[{'id': 5, 'name': 'Shooter'}, {'id': 13, 'name': 'Simulator'}, {'id': 14, 'name': 'Sport'}]","[{'id': 64, 'name': 'hunting'}, {'id': 1148, 'name': 'simulation'}, {'id': 1293, 'name': 'achievements'}, {'id': 4510, 'name': 'touch controls'}, {'id': 4890, 'name': 'xbox live'}]",Deer Hunter 3D,"[{'id': 39, 'name': 'iOS'}]","[{'id': 17130, 'name': 'Unclaimed World'}, {'id': 18623, 'name': 'Villagers'}, {'id': 31515, 'name': 'Another Brick in the Mall'}, {'id': 36346, 'name': 'TransOcean: The Shipping Company'}, {'id': 55590, 'name': 'Mashinky'}, {'id': 76263, 'name': 'Contraband Police'}, {'id': 102805, 'name': 'WWE 2K19'}, {'id': 103218, 'name': 'NBA 2K19'}, {'id': 114286, 'name': 'Madden NFL 20'}, {'id': 114287, 'name': 'FIFA 20'}]"
213,1245628800,"[{'id': 1, 'name': 'Single player'}]","[{'id': 5, 'name': 'Shooter'}, {'id': 12, 'name': 'Role-playing (RPG)'}]","[{'id': 563, 'name': 'military'}, {'id': 970, 'name': 'sci-fi'}, {'id': 1025, 'name': 'shooter'}, {'id': 1523, 'name': 'dialogue trees'}, {'id': 1682, 'name': 'spin-off'}, {'id': 1886, 'name': 'slavery'}, {'id': 4346, 'name': 'top-down perspective'}, {'id': 4353, 'name': 'human'}, {'id': 4627, 'name': 'energy force shield'}, {'id': 4918, 'name': 'real-time combat'}, {'id': 4919, 'name': 'lgbt'}, {'id': 5397, 'name': 'cross culture language skills'}, {'id': 5479, 'name': 'the future'}, {'id': 6250, 'name': 'role-playing shooter'}, {'id': 6304, 'name': 'ancient advanced civilization technology'}, {'id': 8313, 'name': 'future internet'}, {'id': 9000, 'name': 'psychics'}, {'id': 10174, 'name': 'cerberus'}, {'id': 10571, 'name': 'krogan'}, {'id': 12362, 'name': 'systems alliance'}, {'id': 12402, 'name': 'torque 2d'}, {'id': 12888, 'name': 'mass effect field'}, {'id': 12953, 'name': 'e3 2009'}, {'id': 13343, 'name': 'turian'}, {'id': 13344, 'name': 'salarian'}, {'id': 13345, 'name': 'quarian'}, {'id': 13346, 'name': 'batarian'}, {'id': 13347, 'name': 'asari'}, {'id': 13348, 'name': 'biotics'}, {'id': 13349, 'name': 'spectres'}, {'id': 13350, 'name': 'element zero'}, {'id': 13351, 'name': 'red sand'}]",Mass Effect Galaxy,"[{'id': 39, 'name': 'iOS'}]","[{'id': 73, 'name': 'Mass Effect'}, {'id': 1877, 'name': 'Cyberpunk 2077'}, {'id': 19164, 'name': 'Borderlands 3'}, {'id': 47823, 'name': 'Citadel: Forged With Fire'}, {'id': 55038, 'name': 'Immortal: Unchained'}, {'id': 57187, 'name': 'Crackle Cradle'}, {'id': 68286, 'name': 'Earth Defense Force: Iron Rain'}, {'id': 68287, 'name': 'Left Alive'}, {'id': 105049, 'name': 'Remnant: From the Ashes'}, {'id': 105269, 'name': 'Gene Rain'}]"
269,1291161600,"[{'id': 1, 'name': 'Single player'}]","[{'id': 5, 'name': 'Shooter'}, {'id': 13, 'name': 'Simulator'}, {'id': 14, 'name': 'Sport'}]","[{'id': 64, 'name': 'hunting'}, {'id': 926, 'name': 'deer'}, {'id': 1148, 'name': 'simulation'}, {'id': 4134, 'name': 'digital distribution'}, {'id': 4166, 'name': 'bears'}]",Deer Hunter Challenge,"[{'id': 39, 'name': 'iOS'}]","[{'id': 252, 'name': ""Deer Hunter's Extended Season""}, {'id': 258, 'name': 'Deer Hunter 4: World-Class Record Bucks'}, {'id': 265, 'name': 'Deer Hunter II: The Hunt Continues'}, {'id': 17130, 'name': 'Unclaimed World'}, {'id': 18623, 'name': 'Villagers'}, {'id': 31515, 'name': 'Another Brick in the Mall'}, {'id': 102805, 'name': 'WWE 2K19'}, {'id': 103218, 'name': 'NBA 2K19'}, {'id': 114286, 'name': 'Madden NFL 20'}, {'id': 114287, 'name': 'FIFA 20'}]"
268,1242345600,"[{'id': 1, 'name': 'Single player'}]","[{'id': 5, 'name': 'Shooter'}, {'id': 13, 'name': 'Simulator'}, {'id': 14, 'name': 'Sport'}]","[{'id': 64, 'name': 'hunting'}, {'id': 1148, 'name': 'simulation'}, {'id': 1293, 'name': 'achievements'}, {'id': 4510, 'name': 'touch controls'}, {'id': 4890, 'name': 'xbox live'}]",Deer Hunter 3D,"[{'id': 39, 'name': 'iOS'}]","[{'id': 17130, 'name': 'Unclaimed World'}, {'id': 18623, 'name': 'Villagers'}, {'id': 31515, 'name': 'Another Brick in the Mall'}, {'id': 36346, 'name': 'TransOcean: The Shipping Company'}, {'id': 55590, 'name': 'Mashinky'}, {'id': 76263, 'name': 'Contraband Police'}, {'id': 102805, 'name': 'WWE 2K19'}, {'id': 103218, 'name': 'NBA 2K19'}, {'id': 114286, 'name': 'Madden NFL 20'}, {'id': 114287, 'name': 'FIFA 20'}]"
213,1245628800,"[{'id': 1, 'name': 'Single player'}]","[{'id': 5, 'name': 'Shooter'}, {'id': 12, 'name': 'Role-playing (RPG)'}]","[{'id': 563, 'name': 'military'}, {'id': 970, 'name': 'sci-fi'}, {'id': 1025, 'name': 'shooter'}, {'id': 1523, 'name': 'dialogue trees'}, {'id': 1682, 'name': 'spin-off'}, {'id': 1886, 'name': 'slavery'}, {'id': 4346, 'name': 'top-down perspective'}, {'id': 4353, 'name': 'human'}, {'id': 4627, 'name': 'energy force shield'}, {'id': 4918, 'name': 'real-time combat'}, {'id': 4919, 'name': 'lgbt'}, {'id': 5397, 'name': 'cross culture language skills'}, {'id': 5479, 'name': 'the future'}, {'id': 6250, 'name': 'role-playing shooter'}, {'id': 6304, 'name': 'ancient advanced civilization technology'}, {'id': 8313, 'name': 'future internet'}, {'id': 9000, 'name': 'psychics'}, {'id': 10174, 'name': 'cerberus'}, {'id': 10571, 'name': 'krogan'}, {'id': 12362, 'name': 'systems alliance'}, {'id': 12402, 'name': 'torque 2d'}, {'id': 12888, 'name': 'mass effect field'}, {'id': 12953, 'name': 'e3 2009'}, {'id': 13343, 'name': 'turian'}, {'id': 13344, 'name': 'salarian'}, {'id': 13345, 'name': 'quarian'}, {'id': 13346, 'name': 'batarian'}, {'id': 13347, 'name': 'asari'}, {'id': 13348, 'name': 'biotics'}, {'id': 13349, 'name': 'spectres'}, {'id': 13350, 'name': 'element zero'}, {'id': 13351, 'name': 'red sand'}]",Mass Effect Galaxy,"[{'id': 39, 'name': 'iOS'}]","[{'id': 73, 'name': 'Mass Effect'}, {'id': 1877, 'name': 'Cyberpunk 2077'}, {'id': 19164, 'name': 'Borderlands 3'}, {'id': 47823, 'name': 'Citadel: Forged With Fire'}, {'id': 55038, 'name': 'Immortal: Unchained'}, {'id': 57187, 'name': 'Crackle Cradle'}, {'id': 68286, 'name': 'Earth Defense Force: Iron Rain'}, {'id': 68287, 'name': 'Left Alive'}, {'id': 105049, 'name': 'Remnant: From the Ashes'}, {'id': 105269, 'name': 'Gene Rain'}]"
269,1291161600,"[{'id': 1, 'name': 'Single player'}]","[{'id': 5, 'name': 'Shooter'}, {'id': 13, 'name': 'Simulator'}, {'id': 14, 'name': 'Sport'}]","[{'id': 64, 'name': 'hunting'}, {'id': 926, 'name': 'deer'}, {'id': 1148, 'name': 'simulation'}, {'id': 4134, 'name': 'digital distribution'}, {'id': 4166, 'name': 'bears'}]",Deer Hunter Challenge,"[{'id': 39, 'name': 'iOS'}]","[{'id': 252, 'name': ""Deer Hunter's Extended Season""}, {'id': 258, 'name': 'Deer Hunter 4: World-Class Record Bucks'}, {'id': 265, 'name': 'Deer Hunter II: The Hunt Continues'}, {'id': 17130, 'name': 'Unclaimed World'}, {'id': 18623, 'name': 'Villagers'}, {'id': 31515, 'name': 'Another Brick in the Mall'}, {'id': 102805, 'name': 'WWE 2K19'}, {'id': 103218, 'name': 'NBA 2K19'}, {'id': 114286, 'name': 'Madden NFL 20'}, {'id': 114287, 'name': 'FIFA 20'}]"
268,1242345600,"[{'id': 1, 'name': 'Single player'}]","[{'id': 5, 'name': 'Shooter'}, {'id': 13, 'name': 'Simulator'}, {'id': 14, 'name': 'Sport'}]","[{'id': 64, 'name': 'hunting'}, {'id': 1148, 'name': 'simulation'}, {'id': 1293, 'name': 'achievements'}, {'id': 4510, 'name': 'touch controls'}, {'id': 4890, 'name': 'xbox live'}]",Deer Hunter 3D,"[{'id': 39, 'name': 'iOS'}]","[{'id': 17130, 'name': 'Unclaimed World'}, {'id': 18623, 'name': 'Villagers'}, {'id': 31515, 'name': 'Another Brick in the Mall'}, {'id': 36346, 'name': 'TransOcean: The Shipping Company'}, {'id': 55590, 'name': 'Mashinky'}, {'id': 76263, 'name': 'Contraband Police'}, {'id': 102805, 'name': 'WWE 2K19'}, {'id': 103218, 'name': 'NBA 2K19'}, {'id': 114286, 'name': 'Madden NFL 20'}, {'id': 114287, 'name': 'FIFA 20'}]"
213,1245628800,"[{'id': 1, 'name': 'Single player'}]","[{'id': 5, 'name': 'Shooter'}, {'id': 12, 'name': 'Role-playing (RPG)'}]","[{'id': 563, 'name': 'military'}, {'id': 970, 'name': 'sci-fi'}, {'id': 1025, 'name': 'shooter'}, {'id': 1523, 'name': 'dialogue trees'}, {'id': 1682, 'name': 'spin-off'}, {'id': 1886, 'name': 'slavery'}, {'id': 4346, 'name': 'top-down perspective'}, {'id': 4353, 'name': 'human'}, {'id': 4627, 'name': 'energy force shield'}, {'id': 4918, 'name': 'real-time combat'}, {'id': 4919, 'name': 'lgbt'}, {'id': 5397, 'name': 'cross culture language skills'}, {'id': 5479, 'name': 'the future'}, {'id': 6250, 'name': 'role-playing shooter'}, {'id': 6304, 'name': 'ancient advanced civilization technology'}, {'id': 8313, 'name': 'future internet'}, {'id': 9000, 'name': 'psychics'}, {'id': 10174, 'name': 'cerberus'}, {'id': 10571, 'name': 'krogan'}, {'id': 12362, 'name': 'systems alliance'}, {'id': 12402, 'name': 'torque 2d'}, {'id': 12888, 'name': 'mass effect field'}, {'id': 12953, 'name': 'e3 2009'}, {'id': 13343, 'name': 'turian'}, {'id': 13344, 'name': 'salarian'}, {'id': 13345, 'name': 'quarian'}, {'id': 13346, 'name': 'batarian'}, {'id': 13347, 'name': 'asari'}, {'id': 13348, 'name': 'biotics'}, {'id': 13349, 'name': 'spectres'}, {'id': 13350, 'name': 'element zero'}, {'id': 13351, 'name': 'red sand'}]",Mass Effect Galaxy,"[{'id': 39, 'name': 'iOS'}]","[{'id': 73, 'name': 'Mass Effect'}, {'id': 1877, 'name': 'Cyberpunk 2077'}, {'id': 19164, 'name': 'Borderlands 3'}, {'id': 47823, 'name': 'Citadel: Forged With Fire'}, {'id': 55038, 'name': 'Immortal: Unchained'}, {'id': 57187, 'name': 'Crackle Cradle'}, {'id': 68286, 'name': 'Earth Defense Force: Iron Rain'}, {'id': 68287, 'name': 'Left Alive'}, {'id': 105049, 'name': 'Remnant: From the Ashes'}, {'id': 105269, 'name': 'Gene Rain'}]"
269,1291161600,"[{'id': 1, 'name': 'Single player'}]","[{'id': 5, 'name': 'Shooter'}, {'id': 13, 'name': 'Simulator'}, {'id': 14, 'name': 'Sport'}]","[{'id': 64, 'name': 'hunting'}, {'id': 926, 'name': 'deer'}, {'id': 1148, 'name': 'simulation'}, {'id': 4134, 'name': 'digital distribution'}, {'id': 4166, 'name': 'bears'}]",Deer Hunter Challenge,"[{'id': 39, 'name': 'iOS'}]","[{'id': 252, 'name': ""Deer Hunter's Extended Season""}, {'id': 258, 'name': 'Deer Hunter 4: World-Class Record Bucks'}, {'id': 265, 'name': 'Deer Hunter II: The Hunt Continues'}, {'id': 17130, 'name': 'Unclaimed World'}, {'id': 18623, 'name': 'Villagers'}, {'id': 31515, 'name': 'Another Brick in the Mall'}, {'id': 102805, 'name': 'WWE 2K19'}, {'id': 103218, 'name': 'NBA 2K19'}, {'id': 114286, 'name': 'Madden NFL 20'}, {'id': 114287, 'name': 'FIFA 20'}]"
268,1242345600,"[{'id': 1, 'name': 'Single player'}]","[{'id': 5, 'name': 'Shooter'}, {'id': 13, 'name': 'Simulator'}, {'id': 14, 'name': 'Sport'}]","[{'id': 64, 'name': 'hunting'}, {'id': 1148, 'name': 'simulation'}, {'id': 1293, 'name': 'achievements'}, {'id': 4510, 'name': 'touch controls'}, {'id': 4890, 'name': 'xbox live'}]",Deer Hunter 3D,"[{'id': 39, 'name': 'iOS'}]","[{'id': 17130, 'name': 'Unclaimed World'}, {'id': 18623, 'name': 'Villagers'}, {'id': 31515, 'name': 'Another Brick in the Mall'}, {'id': 36346, 'name': 'TransOcean: The Shipping Company'}, {'id': 55590, 'name': 'Mashinky'}, {'id': 76263, 'name': 'Contraband Police'}, {'id': 102805, 'name': 'WWE 2K19'}, {'id': 103218, 'name': 'NBA 2K19'}, {'id': 114286, 'name': 'Madden NFL 20'}, {'id': 114287, 'name': 'FIFA 20'}]"
